观看人数,点赞数,反对数,点赞比
"136,460","10,629",42,99.6064099
"108,339","2,564",12,99.53416149
"160,179","3,783",18,99.52644041
"182,498","8,162",40,99.51231407
"142,464","2,759",14,99.49513163
"221,158","4,749",25,99.47633012
"138,802","3,240",18,99.44751381
"155,607","4,126",23,99.44564955
"159,227","5,178",29,99.44305742
"115,928","2,608",15,99.42813572
"192,116","3,993",23,99.42729084
"111,151","2,419",14,99.42457871
"88,126","3,613",21,99.42212438
"197,291","4,771",28,99.41654511
"187,493","6,295",37,99.41566646
"125,837","2,174",13,99.40557842
"178,573","4,783",29,99.39733998
"204,938","3,272",20,99.39246659
"139,664","3,016",19,99.37397035
"361,518","14,079",89,99.37182383
"211,268","6,323",40,99.37136571
"185,359","4,264",27,99.37077604
"131,498","5,249",34,99.35642627
"338,890","7,543",49,99.35458377
"196,629","6,650",45,99.32785661
"163,516","4,885",34,99.3088026
"163,489","3,136",22,99.30335655
"172,550","3,130",22,99.30203046
"153,698","6,257",44,99.30169814
"109,520","2,973",21,99.29859719
"361,009","13,164",93,99.29848382
"242,816","6,065",43,99.29600524
"207,616","7,874",56,99.29382093
"198,783","8,296",60,99.28195309
"216,463","6,165",45,99.27536232
"151,653","5,936",44,99.26421405
"790,315","18,065",135,99.25824176
"154,679","7,316",55,99.25383259
"293,095","9,942",75,99.25127284
"860,072","33,064",250,99.24956475
"285,769","6,060",47,99.23039135
"302,021","11,191",87,99.22858663
"140,510","2,569",20,99.22750097
"136,309","4,623",36,99.227302
"284,586","8,343",65,99.22692674
"100,491","3,459",27,99.22547332
"148,388","6,784",53,99.2248062
"155,812","3,184",25,99.2209411
"110,604","6,460",51,99.21671018
"143,525","19,550",158,99.19829511
"50,833","2,469",20,99.19646444
"257,189","9,696",79,99.19181586
"111,230","5,113",42,99.18525703
"314,555","7,657",63,99.18393782
"330,544","10,334",86,99.17466411
"150,181","7,307",62,99.15863754
"421,771","9,953",85,99.15321777
"238,074","7,951",68,99.15201397
"129,022","4,537",39,99.14772727
"123,531","4,010",35,99.13473424
"692,356","18,173",163,99.11103839
"795,394","38,730",348,99.10947336
"66,879","2,778",25,99.10809847
"521,741","14,603",132,99.10417374
"624,228","20,463",186,99.09922999
"144,584","6,360",58,99.09629168
"110,414","3,820",35,99.0920882
"205,793","4,474",41,99.09191584
"73,255","2,942",27,99.0906029
"107,824","2,056",19,99.08433735
"323,695","10,078",94,99.07589461
"705,692","21,476",205,99.05447166
"128,888","3,753",36,99.04988124
"640,554","10,861",105,99.04249498
"268,513","13,446",130,99.04242781
"279,262","9,295",91,99.03047091
"288,532","9,650",95,99.0251411
"275,383","8,219",81,99.02409639
"327,186","10,020",99,99.02164245
"151,725","4,235",42,99.01800327
"1,262,156","32,490",323,99.01563405
"277,080","6,679",67,99.00681886
"142,923","4,482",45,99.00596421
"586,675","23,871",240,99.00460371
"340,334","5,266",53,99.0035721
"142,294","6,851",70,98.98858546
"55,034","1,950",20,98.98477157
"177,420","5,834",60,98.98201561
"214,155","6,248",65,98.97037858
"124,606","4,109",43,98.96435453
"492,464","17,303",182,98.95910781
"77,280","3,022",32,98.95219384
"113,952","5,056",54,98.94324853
"136,433","4,378",47,98.93785311
"126,825","4,098",44,98.93771125
"507,336","16,182",174,98.93617021
"920,657","28,238",306,98.92797085
"339,557","9,427",103,98.91920252
"151,057","3,553",40,98.88672419
"368,576","11,342",128,98.88404534
"200,819","4,416",50,98.88042991
"183,531","5,884",67,98.8741388
"720,204","23,893",273,98.87031366
"3,118,612","86,357","1,000",98.85527204
"796,615","38,914",451,98.85431221
"101,890","4,301",50,98.85083889
"112,158","3,689",45,98.79485806
"170,334","6,145",75,98.79421222
"182,532","3,768",46,98.79391715
"240,138","8,284",102,98.7836871
"156,909","3,654",45,98.78345499
"316,500","6,972",86,98.78152451
"384,865","8,748",108,98.7804878
"948,962","18,175",228,98.76107156
"454,017","8,588",108,98.75804968
"216,450","5,936",75,98.75228747
"390,533","9,741",124,98.74303092
"1,326,003","36,206",461,98.7427387
"90,923","2,707",35,98.72355945
"97,710","2,000",26,98.71668312
"86,161","2,536",33,98.71545348
"183,243","5,911",77,98.71409486
"168,803","5,973",78,98.71095687
"41,648","1,678",22,98.70588235
"63,659","1,902",25,98.7026466
